index,speaker,speaker_name,topic,text
234,trump,TRUMP,trade," And then you heard what I said about it, and all of a sudden you were against it."
235,clinton,CLINTON,trump," Well, Donald, I know you live in your own reality, but that is not the facts."
236,clinton,CLINTON,trade,"The facts are I did say I hoped it would be a good deal, but when it was negotiated..."
237,clinton,CLINTON,misc," ... which I was not responsible for, I concluded it wasn't."
238,clinton,CLINTON,misc,I wrote about that in my book...
239,trump,TRUMP,obama, So is it President Obama's fault?
240,trump,TRUMP,obama, Is it President Obama's fault?
241,trump,TRUMP,obama," Secretary, is it President Obama's fault?"
242,trump,TRUMP,obama, Because he's pushing it.
243,clinton,CLINTON,economy," There are different views about what's good for our country, our economy, and our leadership in the world."
244,clinton,CLINTON,economy,And I think it's important to look at what we need to do to get the economy going again.
245,clinton,CLINTON,economy,"That's why I said new jobs with rising incomes, investments, not in more tax cuts that would add $5 trillion to the debt."
246,trump,TRUMP,misc, But you have no plan.
247,trump,TRUMP,misc," Secretary, you have no plan."
248,clinton,CLINTON,misc," In fact, I have written a book about it."
249,clinton,CLINTON,misc,It's called OStronger Together.
250,trump,TRUMP,misc, That's about all you've...
251,moderator,MODERATOR,misc,"(CROSSTALK)  HOLT: Folks, we're going to..."
252,moderator,MODERATOR,misc, We're going to move to...
253,clinton,CLINTON,economy," But it's because I see this we need to have strong growth, fair growth, sustained growth."
254,clinton,CLINTON,jobs,We also have to look at how we help families balance the responsibilities at home and the responsibilities at business.
255,clinton,CLINTON,misc,So we have a very robust set of plans.
256,clinton,CLINTON,"jobs, economy","And people have looked at both of our plans, have concluded that mine would create 10 million jobs and yours would lose us 3.5 million jobs, and explode the debt which would have a recession."
257,trump,TRUMP,taxes, You are going to approve one of the biggest tax cuts in history.
258,trump,TRUMP,taxes,You are going to approve one of the biggest tax increases in history.
259,trump,TRUMP,economy,You are going to drive business out.
260,trump,TRUMP,economy,"Your regulations are a disaster, and you're going to increase regulations all over the place."
