index,speaker_name,speaker,topic,text
727,TRUMP,trump,russia,"But our nuclear program has fallen way behind, and they've gone wild with their nuclear program."
728,TRUMP,trump,russia,Our government shouldn't have allowed that to happen.
729,TRUMP,trump,russia,Russia is new in terms of nuclear.
730,TRUMP,trump,russia,We're tired.
731,TRUMP,trump,russia,We're exhausted in terms of nuclear.
732,TRUMP,trump,russia,A very bad thing.
733,TRUMP,trump,h-clinton,"Now, she talks tough, she talks really tough against Putin and against Assad."
734,TRUMP,trump,h-clinton,She talks in favor of the rebels.
735,TRUMP,trump,h-clinton,She doesn't even know who the rebels are.
736,TRUMP,trump,iraq,"You know, every time we take rebels, whether it's in Iraq or anywhere else, we're arming people."
737,TRUMP,trump,military,They end up being worse than the people.
738,TRUMP,trump,"h-clinton, libya",Look at what she did in Libya with Gadhafi.
739,TRUMP,trump,"isis, libya","And, by the way, ISIS has a good chunk of their oil."
740,TRUMP,trump,"isis, libya",I'm sure you probably have heard that.
741,TRUMP,trump,"isis, libya",It was a disaster.
